날짜,서울 강남구,서울 노원구,경기 성남시,경기 수원시,인천 연수구
2013.04,1038.8724894307031,430.51555747488015,544.0319636186994,324.7192370338431,294.66709998940786
2013.05,1040.8788824696094,429.27723747327394,544.0105966259365,324.5092305270272,293.98830917162513
2013.06,1037.9355234290874,427.83531081926736,544.1828173132277,324.0577066562975,293.7124490343091
2013.07,1030.0517947784049,425.2873678541662,543.9229928508921,323.66440414780584,293.99398401791944
2013.08,1026.033847331831,422.5239126375691,542.5872628565053,322.72090073621047,294.018947782655
2013.09,1028.777509610518,422.7553792320157,540.3692427424106,322.6890262813828,292.95127852651683
2013.10,1029.2085085129263,422.6895145305604,540.4526995423165,323.9623501519212,292.9430618927435
2013.11,1028.533671603959,423.050262927649,541.450343294181,324.4503026164664,292.74186385890323
2013.12,1030.0954406378928,422.8462535529815,541.2798922440792,324.97258282002764,292.8895320158375
2014.01,1031.5604777874253,422.7921968483104,542.1031570969034,325.24662061154663,292.8180286029347
2014.02,1036.4879628450994,422.68146636339793,543.0584260176331,325.2963532707905,293.27742523630764
2014.03,1045.243399318735,423.7274744616036,547.2933913724165,326.9765381284851,293.99689654560405
2014.04,1046.1495389289278,424.0318512925599,547.9170426410432,328.2908863447835,294.93502510617566
2014.05,1045.6142099367064,423.6458357351105,548.5467699910076,328.9200441194972,295.8261154915076
2014.06,1047.228820033329,423.4664993458378,549.5921549868915,329.36793530295034,295.1866989995336
2014.07,1048.922085977889,423.593446456229,550.4988423917073,329.7967981365392,295.74343181019293
2014.08,1052.4957542594932,423.434787951824,552.5617655727449,331.52611713982816,296.474538343502
2014.09,1065.4139882306802,426.0070011852563,556.2435979414854,333.1585410751953,299.1545450589649
2014.10,1071.0204290859208,428.0280989775122,558.6706834628105,335.96532408809026,301.21628569505754
2014.11,1072.0813228646068,428.8056576618875,561.1842077000267,336.9654523352464,301.9757930294624
2014.12,1072.913402133106,429.31178994961545,562.4482696491032,338.62181383317795,303.01618521844665
2015.01,1076.853759748512,430.6876657039479,563.2169161386147,339.7181256551261,304.4433571484916
2015.02,1080.874523222005,431.92692562021176,565.2828636027197,341.67096836598813,306.59978138157686
2015.03,1085.004398955633,435.67712119742896,567.5535884057493,343.875758285558,309.8539702613143
2015.04,1090.4251775927569,438.6481428518612,569.8833397234005,346.1639134134955,313.0801392843468
2015.05,1099.0019769833154,439.6757233927517,574.3649111406404,347.31508072692725,315.63744420240647
2015.06,1113.3829016200914,440.52285689716473,576.4591654943421,349.71574118200766,317.44204802297617
2015.07,1122.7495587536866,441.9560013719676,578.7135430560105,351.7056770366355,318.92820367211226
2015.08,1136.0684748281435,444.35398430833135,581.0278394389155,353.26562476748114,320.06700392952143
2015.09,1143.7956159928824,448.20704735668136,583.0451019246866,355.2258660465719,322.3638407993096
2015.10,1152.5787851057669,450.5113124140692,585.1569427713903,356.8144281799628,322.6554082896119
2015.11,1161.363158930464,454.1517590337166,586.8310958223508,358.7066193949166,324.8269250093615
