날짜,전국,서울특별시,서울 용산구,서울 성동구,서울 마포구,서울 서초구,서울 강남구,서울 송파구,서울 강동구,서울 노원구,부산광역시,대구광역시,인천광역시,인천 연수구,세종특별자치시,경기도,경기 수원시,경기 성남시,경기 성남 분당구,경기 고양시,경기 과천시,경기 광명시,경기 하남시,경기 화성시,경기 김포시,제주특별자치도
2013.04,324.2640227050795,586.7091307804966,854.1818307778316,595.8028927702529,592.6900673930418,903.2213899460048,1038.8724894307031,709.8447829394137,598.1291774108321,430.51555747488015,263.9582412920462,224.6803538743942,264.94584763844733,294.66709998940786,213.9891966413669,337.4152674004759,324.7192370338431,544.0319636186994,585.5906956888182,329.5840153060616,906.8878970561052,450.486789152951,389.1725038750142,268.6625372590542,242.33919974244137,228.99000556763255
2013.05,324.13986042759035,586.5943733767668,849.9259308742123,594.8066875927801,594.5680531321112,903.6910857446646,1040.8788824696094,711.5570739797244,598.1971811391834,429.27723747327394,263.7659136725058,226.59510245836117,264.29346742428726,293.98830917162513,214.3154273032115,336.6543041503075,324.5092305270272,544.0105966259365,585.4483415043943,327.6379813057544,908.4875084329144,449.6337252689312,388.6359862033583,267.54091028275644,239.9175335329286,228.97313674660225
2013.06,323.71400860388013,585.2245650771124,847.509334645538,592.9724892498308,593.5192156994757,904.0954139091172,1037.9355234290874,709.5623582466027,595.9301857009428,427.83531081926736,263.51609954553123,228.4671789176952,263.84031469069566,293.7124490343091,215.11050135317032,335.5707434172728,324.0577066562975,544.1828173132277,585.7521049020709,326.1496485994349,907.4459005938544,450.1196454359685,388.416261899274,266.99082555922786,238.24687241003176,231.63821618224105
2013.07,323.2998581986925,582.8342820677213,843.9998792025146,589.7991710633887,592.4077007392268,903.5532492458984,1030.0517947784049,705.6402516609177,593.1361186041519,425.2873678541662,263.3911488938429,230.12214868929803,263.5683753445629,293.99398401791944,216.9491003758447,335.0893932672569,323.66440414780584,543.9229928508921,585.6594480407437,324.8259152158684,909.8726356717738,450.8213297365661,387.0874956040261,264.9540634077709,237.71587224246508,231.52214301683148
2013.08,322.8394830608581,581.0153691602734,839.5590346895657,584.8780763327142,590.8736617858948,902.422721318346,1026.033847331831,704.3396646190506,592.3281225949777,422.5239126375691,263.3905294298452,231.055203164492,263.0266775569393,294.018947782655,217.365905522236,334.30836308232193,322.72090073621047,542.5872628565053,584.0931732499437,323.29609913973206,908.7149973589856,449.6496917251197,383.8336850717352,264.1069435604504,237.2793924023158,231.4567758494524
2013.09,322.79881171098003,580.4490804131905,815.2574745978977,583.8000612634148,590.7895047926957,902.365206730814,1028.777509610518,704.937376801523,592.1714736202624,422.7553792320157,263.4129415350063,233.05007138313275,262.8377730201238,292.95127852651683,218.08104722646215,333.8523103791439,322.6890262813828,540.3692427424106,581.5258377065473,322.9613149441236,906.4919820121236,449.8670712186096,382.3842694682932,263.78936892627377,236.8902669566883,231.4163732006282
2013.10,323.5333557481829,581.2896637310058,813.7462235078003,583.3793663351418,589.8317294543599,903.4149135287864,1029.2085085129263,710.3310943243355,593.006417824496,422.6895145305604,263.5955359902649,236.17706608122916,263.18921167546875,292.9430618927435,218.7524688390628,334.4359533184323,323.9623501519212,540.4526995423165,581.4354851864487,323.79705792948096,907.1494047931388,452.7151375154656,382.68770685171336,263.9734304213161,237.47709851177237,231.4163732006282
2013.11,324.0821816492703,581.2295000333805,811.3360376169819,583.3498365263058,589.8469248512916,903.6229787152552,1028.533671603959,710.4929057123878,592.6458688371528,423.050262927649,263.7722360374565,239.555441139052,263.2597451000753,292.74186385890323,219.926296542159,334.82212098984513,324.4503026164664,541.450343294181,582.5958914107684,324.4064440068307,910.073968641058,453.55073277110745,382.0118584202519,264.41302890966745,237.91258147172735,231.4163732006282
2013.12,324.78276380899723,581.3851107869906,810.1969291491606,582.9769089027319,590.7614011089105,904.1744634175516,1030.0954406378928,711.6045010349806,592.3510078342312,422.8462535529815,264.0078538828126,242.85920754002532,263.3552763035584,292.8895320158375,220.53491561054608,335.1355288294357,324.97258282002764,541.2798922440792,582.283555725609,324.97585651204554,910.5103578230024,454.38068326029656,382.21622223935753,264.455523075156,237.834957324226,231.96554204575747
2014.01,325.2365575066132,581.6906097716798,809.6465567689128,583.5082179509011,590.8825251783991,906.5993511292074,1031.5604777874253,712.7307239134806,590.5555986657694,422.7921968483104,264.1296786348615,244.44460647549752,263.4362359923627,292.8180286029347,222.57296560718896,335.5298161423786,325.24662061154663,542.1031570969034,583.3099202335807,325.340579948493,912.4066616419468,455.0713597317664,382.1698534013627,264.30399927605754,238.64765873897207,231.14036090267672
